intersection_name,latitude,longitude,hour,day_of_week,is_peak_hour,is_weekend,vehicle_flow,congestion_index,accidents_last_12m,climate_condition,intersection_type,risk_label,tenant_id
Cra 7 con Calle 26,4.611841658432216,-74.08218261879645,10,4,0,0,708.7,0.108,0,0,0,0,metro_agency
Calle 100 con Autopista Norte,4.687716445080951,-74.04592387599762,16,5,0,1,632.8,0.0,0,0,0,0,bogota
Av. Eldorado con Cra 30,4.647565347815772,-74.10442671961573,6,3,0,0,644.4,0.085,2,0,2,0,bogota
Cra 15 con Calle 72,4.658634880886078,-74.05580800773564,1,1,0,0,823.9,0.11,1,2,0,0,metro_agency
Calle 80 con Av. Boyaca,4.6998008927719495,-74.11043651395977,12,1,0,0,507.7,0.21,2,0,1,0,bogota
Cra 7 con Calle 45,4.635223077999695,-74.06378832371117,14,0,0,0,928.4,0.252,0,0,2,0,bogota
Av. Caracas con Calle 53,4.644003661268398,-74.0727499946045,0,2,0,0,727.3,0.064,4,0,1,0,metro_agency
Cra 11 con Calle 93,4.676501361609985,-74.05036086408747,8,2,1,0,1718.0,0.444,2,0,1,1,bogota
Calle 170 con Cra 7,4.75398068954173,-74.04501032201735,6,6,0,1,588.0,0.144,5,1,1,0,bogota
Av. 68 con Calle 26,4.607596120277065,-74.10963894472782,11,3,0,0,536.8,0.406,1,0,0,0,metro_agency
Cra 30 con Calle 45,4.635497722730778,-74.10144244960927,0,2,0,0,316.9,0.137,0,0,1,0,bogota
Calle 13 con Cra 50,4.604133515487289,-74.10923420629145,21,5,0,1,585.1,0.163,3,0,0,0,bogota
Av. Suba con Cra 91,4.7231906125452054,-74.08949339504632,13,1,0,0,828.6,0.313,3,1,0,0,metro_agency
Cra 7 con Calle 116,4.697572289135912,-74.04235875936494,1,2,0,0,774.7,0.12,5,0,1,0,bogota
Calle 63 con Av. Caracas,4.65175242086226,-74.07370485694466,7,0,1,0,686.8,0.618,15,0,0,1,bogota
Av. Boyaca con Calle 80,4.6998105122184946,-74.11072972535769,7,6,1,1,1085.0,0.256,2,0,2,0,metro_agency
Cra 19 con Calle 100,4.686865470343905,-74.06572413238888,11,4,0,0,1146.9,0.214,0,0,1,0,bogota
Calle 26 con Cra 50,4.607252280027175,-74.10861039717186,21,2,0,0,748.1,0.058,0,0,0,0,bogota
Av. Ciudad de Cali con Calle 80,4.698953802052035,-74.12578534143333,8,1,1,0,1307.3,0.684,14,0,0,1,metro_agency
Cra 7 con Calle 32,4.620710398633137,-74.0764512359655,8,1,1,0,639.8,0.538,1,0,2,1,bogota
Cra 7 con Calle 26,4.609886454314769,-74.08119501272101,7,5,1,1,1843.2,0.495,0,0,0,0,bogota
Calle 100 con Autopista Norte,4.687171061748742,-74.04215519339398,10,1,0,0,773.2,0.183,0,0,2,0,metro_agency
Av. Eldorado con Cra 30,4.646320080266737,-74.10263739196121,15,4,0,0,334.6,0.477,0,0,0,0,bogota
Cra 15 con Calle 72,4.661341273289066,-74.05833586215118,6,4,0,0,974.4,0.006,1,1,0,0,bogota
Calle 80 con Av. Boyaca,4.698748181731379,-74.11025371065199,12,0,0,0,986.7,0.262,4,0,2,0,metro_agency
Cra 7 con Calle 45,4.637130211353645,-74.0656912243622,17,1,1,0,1540.9,0.5,0,0,1,0,bogota
